pdf,internal_ref,external_ref,designation,qty,prix,match_score
20260302_12105033.pdf,P199680105,8020137,DECAPANT 5L,1.0,30.3,100
20260302_12115701.pdf,P199681847,PU1080BL,CAM TUBE 10X8 BLEU,20.0,4.339,100
20260302_12181839.pdf,P199600771,RACCORD,RACCORD S16 male 1/2,8.0,12.0,100
20260302_12105033.pdf,P199692133,8012599,SILICONE SIKAFLEX CRISTAL,1.0,34.252,100
20260302_12115701.pdf,P199420416,NKX25Z,RLT A AIG AVEC BUTEE,4.0,242.2,100
20260302_12181839.pdf,P199680428,COLLIER,COLLIER DE SERRAGE A BOULON DN 80/85,4.0,15.0,95
20260302_12105033.pdf,P199680440,6050004,RIVET ALLU 4.8*22,250.0,0.098,94
20260302_12115701.pdf,P199450101,NPC8-04,SHAKO RACC DROIT 8 1/2,5.0,6.821,94
20260302_12115701.pdf,P199450265,NPC12-02,SHAKO RACC DROIT 12 1/4,10.0,6.207,94
20260302_12181839.pdf,P199681803,COLLIER,COLLIER DE SERRAGE A BOULON DN 23/35,10.0,4.0,92
20260302_12105033.pdf,P199403539,BCF04H,MECHE ACIER RECTIFIE 4MM,2.0,0.938,90
20260302_12105033.pdf,P199403542,BCF05H,MECHE ACIER RECTIFIE 5MM,5.0,1.366,90
20260302_12181839.pdf,P199600774,FLEXSM,"FLEX EAU R2AT DN 3/8"" LG 1000 F/FC 90°",2.0,69.0,90
20260302_12105033.pdf,P199680240,1-947,JEUX 9 CLE MALE LONG 1.5-10MM,1.0,49.132,90
20260302_12115701.pdf,P199685061,PU225S-04-S2,SHAKO ELECTROANNE 2/2 1/4,1.0,240.278,89
20260302_12181839.pdf,P199600770,TUYAU,TUYAU ARME DN 16,20.0,25.0,88
20260302_12181839.pdf,P199600773,FLEXSM,"FLEX DE GRAISSE DN 1/4"" LG 1260 F/FC 90°",2.0,79.5,87
20260302_12105033.pdf,P199403517,2030521,TIGE GALVA DE24,1.0,28.382,85
20260302_12115701.pdf,P199450136,NPC10-04,SHAKO RACC DROIT 10 1/2,5.0,7.752,85
20260302_12181839.pdf,P199680434,OSV,TUY GORGE OSV DN 38,10.0,15.0,85
20260302_12115701.pdf,P199450235,Z10100,SHAKO TEMPORISATEUR Z10100,1.0,109.943,84
20260302_12105033.pdf,P199403654,6030272-27,RONDELLE PLATE GALV M6/27,50.0,0.072,83
20260302_12181839.pdf,P199680433,TUYAU,"TUY R4 DN 1"" 1/4",20.0,50.0,82
20260302_12181839.pdf,P199600363,COLLIER,COLLIER DE SERRAGE DN 44/47,20.0,5.0,80
20260302_12181839.pdf,P199600772,TUYAU,TUYAU OSV DN75,10.0,30.0,77
20260302_12105033.pdf,P199403555,643000,VIS TH GAL CL 8.8 M 12*40,30.0,0.578,77
20260302_12105033.pdf,P199680136,4032185,DISQUE A LAMELLE 115*22.23 Z60 SPEC: BL2460/2025,2.0,4.695,73
20260302_12105033.pdf,P199662040,7020096,GUANT DE TRAVAIL T10,1.0,3.894,71
20260302_12105033.pdf,P199403496,920644000,VIS TH GAL 8.8 M 10*40,30.0,0.519,70
20260302_12105033.pdf,P199602123,77600,CADNA BLOCUS LAITON 60MM ref 77600,1.0,9.44,64
20260302_12105033.pdf,P199681231,DW36PT,JEUX TARRAUD M24,1.0,330.0,62
20260302_12115701.pdf,P199684214,2019005,SHAKO UNION TECHNOPOLYMERE SPEC: BL/LA25/01983,10.0,5.568,62
20260302_12105033.pdf,P199642013,3121,CHAINE ACIER 21-5MM,1.0,4.52,61
20260302_12105033.pdf,P199662039,3787,ARALDIT 2*15ML,1.0,32.303,61
20260302_12105033.pdf,P199602050,2110160,CADNA BLOCUS LAITON 60MM REF 2110160,2.0,45.081,57
20260302_12115701.pdf,P199420414,81105TN,BUTEE A RLX CYLIND ref 81105TN SPEC: BL/LR25/06907,4.0,122.341,56
20260302_12105033.pdf,P199680439,1019016,RIVET POP 4*12.7,1000.0,0.046,54
